Package,Item,Title,size
colorspace,max_chroma_table,Compute Maximum Chroma for Given Hue and Luminance in HCL,2625400
paletteer,palettes_d,Complete list of fixed discrete palettes,2582408
questionr,rp2012,2012 French Census - French cities of more than 2000 inhabitants,2513664
kernlab,spam,Spam E-mail Database,2419152
jomo,tldata,A simulated 2-level dataset,2417216
ade4,capitales,Road Distances,2367736
GGally,baseball,Yearly batting records for all major league baseball players,2346288
plyr,baseball,Yearly batting records for all major league baseball players,2346288
AER,STAR,Project STAR: Student-Teacher Achievement Ratio,2330352
janeaustenr,emma,"The text of Jane Austen's novel ""Emma""",2325808
janeaustenr,mansfieldpark,"The text of Jane Austen's novel ""Mansfield Park""",2325544
lme4,InstEval,University Lecture/Instructor Evaluations by Students at ETH,2323792
dlookr,jobchange,Job Change of Data Scientists,2318464
wooldridge,happiness,happiness,2288240
modeldata,Chicago,Chicago ridership data,2286472
sentimentr,crowdflower_deflategate,Twitter Tweets About the Deflategate,2281840
mlr3data,kc_housing,House Sales in King County,2251592
countrycode,countryname_dict,A dataframe of alternative country names in many languages. Used internally by the 'countryname' function.,2250288
modeldata,training_data,Fine foods example data,2130840
GGally,australia_PISA2012,Programme for International Student Assessment (PISA) 2012 Data for Australia,2050944
dataPreparation,adult,Adult for UCI repository,1967040
Lahman,BattingPost,BattingPost table,1943656
mlbench,Satellite,Landsat Multi-Spectral Scanner Image Data,1884920
lexicon,hash_sentiment_senticnet,Augmented SenticNet Polarity Table,1817104
janeaustenr,prideprejudice,"The text of Jane Austen's novel ""Pride and Prejudice""",1810968
xgboost,agaricus.train,Training part from Mushroom Data Set,1784504
janeaustenr,sensesensibility,"The text of Jane Austen's novel ""Sense and Sensibility""",1773800
ggmap,zips,Zip code data for the Greater Houston Metropolitan Area from the 2000 census,1723104
AER,CPSSW3,Stock and Watson CPS Data Sets,1682264
sentimentr,crowdflower_products,Twitter Tweets About the Products,1678328
workflowsets,chi_features_set,Chicago Features Example Data,1673976
rebmix,sensorlessdrive,Sensorless Drive Faults Detection Data,1639344
modeldata,pd_speech,Parkinson's disease speech classification data set,1622888
modeldata,permeability_qsar,Predicting permeability from chemical information,1615848
lexicon,hash_sentiment_sentiword,Augmented Sentiword Polarity Table,1597192
dplyr,storms,Storm tracks data,1581536
wooldridge,alcohol,alcohol,1576424
Lahman,FieldingPost,FieldingPost data,1572896
arules,Epub,The Epub Transactions Data Set,1551920
ISLR,Khan,Khan Gene Data,1539960
ks,air,Air quality measurements in an underground train station,1510648
ade4,elec88,Electoral Data,1499288
mlr3data,optdigits,Optical Recognition of Handwritten Digits,1470128
lexicon,nrc_emotions,NRC Emotions,1417128
AppliedPredictiveModeling,segmentationOriginal,Cell Body Segmentation,1374984
AER,CPSSW9204,Stock and Watson CPS Data Sets,1374520
mlr3data,bike_sharing,Bike Sharing Demand,1372608
modeldata,deliveries,Food Delivery Time Data,1366968
wooldridge,mathpnl,mathpnl,1362336
VIM,collisions,Subset of the collision data,1328528
sentimentr,crowdflower_self_driving_cars,Twitter Tweets About Self Driving Cars,1289552
arules,Mushroom,The Mushroom Data Set as Transactions,1286904
AER,CPSSW9298,Stock and Watson CPS Data Sets,1244880
janeaustenr,persuasion,"The text of Jane Austen's novel ""Persuasion""",1229536
janeaustenr,northangerabbey,"The text of Jane Austen's novel ""Northanger Abbey""",1144576
tune,ames_grid_search,Example Analysis of Ames Housing Data,1139224
yarrr,movies,movies,1132264
wooldridge,injury,injury,1119888
dendextend,khan,"Microarray gene expression dataset from Khan et al., 2001. Subset of 306 genes.",1100472
sandwich,InstInnovation,Innovation and Institutional Ownership,1099320
threejs,flights,Global flight example data from Callum Prentice.,1098592
lexicon,freq_last_names,Frequent U.S. Last Names,1098280
ks,hsct,Haematopoietic stem cell transplant,1096936
kernlab,income,Income Data,1093448
collapse,wlddev,World Development Dataset,1089128
wooldridge,school93_98,school93_98,1072120
Lahman,PitchingPost,PitchingPost table,1060512
modeldata,ames,Ames Housing Data,1053120
modeldata,lending_club,Loan data,1037944
AER,GSS7402,US General Social Survey 1974-2002,1031216
mlr3data,ames_housing,"House Sales in Ames, Iowa",1029360
VIM,kola.background,Background map for the Kola project data,1029144
tune,ames_wflow,Example Analysis of Ames Housing Data,977568
Lahman,Salaries,Salaries table,967680
sentimentr,nyt_articles,Sentiment Scored New York Times Articles,957032
benchmarkmeData,past_results,Benchmarking results,945704
AER,SmokeBan,Do Workplace Smoking Bans Reduce Smoking?,924760
caret,segmentationData,Cell Body Segmentation,914216
leaflet,gadmCHE,Administrative borders of Switzerland (level 1),901568
lexicon,hash_sentiment_jockers_rinker,Combined Jockers & Rinker Polarity Lookup Table,901376
modeldata,cells,Cell body segmentation,890064
urltools,suffix_dataset,Dataset of public suffixes,885280
arules,Income,The Income Data Set,866512
modeldata,stackoverflow,Annual Stack Overflow Developer Survey Data,855136
modeldata,leaf_id_flavia,Leaf identification data (Flavia),847928
survival,nafld1,Non-alcohol fatty liver disease,844176
wooldridge,census2000,census2000,831304
Lahman,CollegePlaying,CollegePlaying table,829984
FactoMineR,hobbies,hobbies (data),822704
vip,titanic_mice,Survival of Titanic passengers,821680
plotly,res_mn,Minnesotan Indian Reservation Lands,821040
boot,amis,Car Speeding and Warning Signs,811032
robustbase,NOxEmissions,NOx Air Pollution Data,807584
Lahman,Teams,Teams table,806336
dslabs,tissue_gene_expression,Gene expression profiles for 189 biological samples taken from seven different tissue types.,804232
wooldridge,wagepan,wagepan,790960
wooldridge,twoyear,twoyear,788200
forcats,gss_cat,A sample of categorical variables from the General Social survey,783920
nlme,bdf,Language scores,776648
DiceDesign,NOLHDRdesigns,List of De Rainville's Nearly Orthogonal Latin Hypercubes designs,774264
modeldata,wa_churn,Watson churn data,770720
plm,Snmesp,Employment and Wages in Spain,757272
viridis,unemp,USA Unemployment in 2009,747976
mosaicData,Weather,Weather,734704
Matrix,wrld_1deg,Contiguity Matrix of World One-Degree Grid Cells,734448
Matrix,wrld_1deg,Contiguity Matrix of World One-Degree Grid Cells,734448
AER,DoctorVisits,Australian Health Service Utilization Data,711048
ade4,julliot,Seed dispersal,705864
AER,CollegeDistance,College Distance Data,691504
vipor,counties,Census ata on US counties,690256
kernlab,musk,Musk data set,685648
carData,SLID,Survey of Labour and Income Dynamics,685440
afex,fhch2010,"Data from Freeman, Heathcote, Chalmers, & Hockley (2010)",681256
modeldata,hepatic_injury_qsar,Predicting hepatic injury from chemical information,678736
VIM,wine,Wine tasting and price,676096
ade4,rhizobium,Genetic structure of two nitrogen fixing bacteria influenced by geographical isolation and host specialization,673408
AER,CPSSW04,Stock and Watson CPS Data Sets,672952
AER,NMES1988,Demand for Medical Care in NMES 1988,662032
wooldridge,cps91,cps91,657312
collapse,GGDC10S,Groningen Growth and Development Centre 10-Sector Database,656688
dslabs,us_contagious_diseases,Contagious disease data for US states,648736
plm,LaborSupply,Wages and Hours Worked,639856
caret,dhfr,Dihydrofolate Reductase Inhibitors Data,625832
sentimentr,presidential_debates_2012,2012 U.S. Presidential Debates,623632
textreadr,presidential_debates_2012,2012 U.S. Presidential Debates,623632
ks,tempb,Daily temperature,614648
dslabs,gapminder,Gapminder Data,608264
survival,flchain,Assay of serum free light chain for 7874 subjects.,602480
ade4,mafragh,Phyto-Ecological Survey,599544
gamlss.data,db,Head Circumference of Dutch Boys,596408
Lahman,FieldingOF,FieldingOF table,593576
wooldridge,loanapp,loanapp,588936
VIM,chorizonDL,C-horizon of the Kola data with missing values,585864
gamlss.data,dbbmi,BMI of Dutch Boys,584360
modeldata,mlc_churn,Customer churn data,569288
mice,fdgs,Fifth Dutch growth study 2009,564472
modeldata,tate_text,Tate Gallery modern artwork metadata,563872
AER,PSID7682,PSID Earnings Panel Data (1976-1982),562264
latticeExtra,USCancerRates,Rate of Death Due to Cancer in US Counties,556360
ggplot2,txhousing,Housing sales in TX,555392
survival,nafld3,Non-alcohol fatty liver disease,551520
modeldata,testing_data,Fine foods example data,548024
AER,ResumeNames,Are Emily and Greg More Employable Than Lakisha and Jamal?,546392
irr,vision,Eye-testing case records,540536
wooldridge,catholic,catholic,537192
colorspace,USSouthPolygon,"Polygon for County Map of US South States: Alabama, Georgia, and South Carolina",534576
lexicon,hash_sentiment_huliu,Hu Liu Polarity Lookup Table,530784
benchmarkmeData,past_results_v2,Benchmarking results,525704
plot3D,Hypsometry,The earths hypsometry (land elevation) and the ocean's bathymetry,522024
wooldridge,k401ksubs,k401ksubs,521688
prabclus,veronica,Genetic AFLP data of Veronica plants,520480
arules,IncomeESL,The Income Data Set,517864
plm,Males,Wages and Education of Young Males,513240
jomo,ExamScores,Exam results for six inner London Education Authorities,508888
rebmix,truck,Truck Dataset,507488
AppliedPredictiveModeling,schedulingData,HPC Job Scheduling Data,506784
carData,Arrests,Arrests for Marijuana Possession,505832
RecordLinkage,RLdata10000,Test data for Record Linkage,504592
textshape,hamlet,Hamlet (Complete & Split by Sentence),493960
Lahman,HallOfFame,Hall of Fame Voting Data,489592
plm,Wages,Panel Data of Individual Wages,488872
carData,WVS,World Values Surveys,477736
wooldridge,fertil2,fertil2,475280
caret,GermanCredit,German Credit Data,473880
lava,twindata,Twin menarche data,465568
dlookr,flights,Flights data,465216
AER,HealthInsurance,Medical Expenditure Panel Survey Data,464896
dslabs,polls_us_election_2016,Fivethirtyeight 2016 Poll Data,463592
vcd,Bundesliga,Ergebnisse der Fussball-Bundesliga,459496
ade4,tarentaise,Mountain Avifauna,455712
ade4,avijons,Bird species distribution,453672
strucchange,SP2001,S&P 500 Stock Prices,452512
xgboost,agaricus.test,Test part from Mushroom Data Set,451160
ade4,piosphere,Plant traits response to grazing,449904
pan,YWC.data,A data frame for multivariate imputation,446560
Lahman,AwardsSharePlayers,AwardsSharePlayers table,440184
wooldridge,card,card,438416
lexicon,freq_first_names,Frequent U.S. First Names,428944
dslabs,mnist_27,Useful example for illustrating machine learning algorithms based on MNIST data,422936
TSP,USCA312,USCA312/USCA50 - 312/50 cities in the US and Canada,412760
gamlss.data,brownfat,The brown fat data set,409072
survival,nwtco,Data from the National Wilm's Tumor Study,404600
DescTools,wdConst,Word VBA Constants,403528
radiant.model,dvd,Data on DVD sales,403472
lexicon,hash_nrc_emotions,NRC Emotion Table,401984
vipor,integrations,Data on HIV integration sites from several studies,399456
lexicon,hash_sentiment_nrc,NRC Sentiment Polarity Table,395672
yardstick,lung_surv,Survival Analysis Results,386968
lexicon,sw_jockers,Matthew Jocker's Expanded Topic Modeling Stopword List,385072
nycflights13,planes,Plane metadata.,384432
wooldridge,driving,driving,382072
compareGroups,regicor,REGICOR cross-sectional data,376128
Lahman,AwardsPlayers,AwardsPlayers table,372784
wooldridge,airfare,airfare,370248
latticeExtra,ancestry,Modal ancestry by County according to US 2000 Census,368864
Lahman,AllstarFull,AllstarFull table,364472
mice,brandsma,Brandsma school data used Snijders and Bosker (2012),363648
modeldata,ad_data,Alzheimer's disease data,362696
sp,meuse.grid_ll,"Prediction Grid for Meuse Data Set, geographical coordinates",353984
Lahman,HomeGames,HomeGames table,352800
survival,colon,Chemotherapy for Stage B/C colon cancer,352416
sp,meuse.grid,Prediction Grid for Meuse Data Set,350168
gplots,rtPCR,Teratogenesis rtPCR data,350064
TSrepr,elec_load,2 weeks of electricity load data from 50 consumers.,350048
timetk,walmart_sales_weekly,Sample Time Series Retail Data from the Walmart Recruiting Store Sales Forecasting Competition,344848
clue,Kinship82,Rosenberg-Kim Kinship Terms Partition Data,341224
plyr,ozone,Monthly ozone measurements over Central America.,340376
lexicon,common_names,First Names (U.S.),339424
latticeExtra,USAge.df,US national population estimates,337608
mice,tbc,Terneuzen birth cohort,334480
nlme,Remifentanil,Pharmacokinetics of Remifentanil,331960
AER,HMDA,Home Mortgage Disclosure Act Data,331512
psych,bfi,25 Personality items representing 5 factors,328768
ade4,lascaux,Genetic/Environment and types of variables,327560
modeldata,taxi,Chicago taxi data set,325048
plm,SumHes,"The Penn World Table, v. 5",323280
rebmix,steelplates,Steel Plates Faults Recognition Data,322728
ade4,irishdata,Geary's Irish Data,314664
ConsRank,APAFULL,"American Psychological Association dataset, full version",309752
tseries,tcmd,Daily Yields on Treasury Securities,307544
sentimentr,hu_liu_jukebox_reviews,Creative Labs Nomad Jukebox Zen Xtra 40GB Product Reviews From Amazon,304432
nlme,MathAchieve,Mathematics achievement scores,303688
lme4,VerbAgg,Verbal Aggression item responses,300824
survival,survexp.usr,Census Data Sets for the Expected Survival and Person Years Functions,300096
sentimentr,kaggle_movie_reviews,Movie Reviews,296032
nycflights13,airports,Airport metadata,292968
wooldridge,jtrain3,jtrain3,292208
mclust,GvHD.pos,GvHD Dataset,291744
modeldata,attrition,Job attrition,291520
wooldridge,minwage,minwage,289504
strucchange,scPublications,Structural Change Publications,289104
wooldridge,gpa2,gpa2,283712
modelr,heights,Height and income data.,283192
clue,CKME,Cassini Data Partitions Obtained by K-Means,281336
wooldridge,crime4,crime4,277656
Lahman,Schools,Schools table,276528
carData,Chile,Voting Intentions in the 1988 Chilean Plebiscite,274032
lexicon,key_regressive_imagery,Colin Martindale's English Regressive Imagery Dictionary,273544
AppliedPredictiveModeling,abalone,Abalone Data,269768
paletteer,palettes_dynamic,Complete list of dynamic palettes,269264
TTR,ttrc,Technical Trading Rule Composite data,267952
ks,cardio,Foetal cardiotocograms,267008
ade4,vegtf,Vegetation in Trois-Fontaines,266320
mosaicData,Births,US Births,265728
wooldridge,crime1,crime1,264408
coin,malformations,Maternal Drinking and Congenital Sex Organ Malformation,262744
mlr3data,titanic,Titanic,262664
maps,county.fips,FIPS county codes for US County Map,261224
tidyquant,FANG,"Stock prices for the ""FANG"" stocks.",260208
timetk,FANG,"Stock prices for the ""FANG"" stocks.",260208
plm,Crime,Crime in North Carolina,259008
lexicon,hash_sentiment_socal_google,SO-CAL Google Polarity Table,257944
glmnet,CoxExample,Synthetic dataset with right-censored survival response,257136
modeldata,credit_data,Credit data,254928
AER,CPSSWEducation,Stock and Watson CPS Data Sets,249408
AER,Municipalities,Municipal Expenditure Data,248568
mosaicData,BirthsSSA,US Births,243816
GGally,twitter_spambots,Twitter spambots,242136
ISLR,Default,Credit Card Default Data,242112
gamlss.data,rent,Rent data,240208
gamlss.data,rent99.polys,The boundaries file for Munich rent data from the 1999 survey.,240080
wooldridge,benefits,benefits,239584
ks,platesf,Geographical locations of earthquakes and tectonic plates,238816
ade4,houmousr,Morphometric data set,237080
plm,Parity,Purchasing Power Parity and other parity relationships,236640
arules,Groceries,The Groceries Transactions Data Set,235800
mosaicData,Gestation,Data from the Child Health and Development Studies,235392
gamlss.data,dbhh,Head circumference and height of Dutch Boys,234904
radiant.data,diamonds,Diamond prices,233952
tidyr,billboard,Song rankings for Billboard top 100 in the year 2000,233280
multcomp,trees513,Frankonian Tree Damage Data,233152
paletteer,palettes_d_names,Names of all fixed discrete palettes,231528
flexclust,volunteers,Motivation of Australian Volunteers,230912
lava,missingdata,Missing data example,230360
modeldata,hpc_data,High-performance computing system data,229744
DescTools,xlConst,Word VBA Constants,229168
radiant.model,ketchup,Data on ketchup choices,229072
ade4,ggtortoises,Microsatellites of Galapagos tortoises populations,227936
FactoMineR,health,health (data),226848
Lahman,Managers,Managers table,226320
flexclust,vacmot,Vacation Motives of Australians,226200
AER,GoldSilver,Gold and Silver Prices,220344
vegan,pyrifos,Response of Aquatic Invertebrates to Insecticide Treatment,219368
dataPreparation,tiny_messy_adult,First 500 rows of 'messy_adult',219088
mclust,GvHD.control,GvHD Dataset,218976
ISLR,OJ,Orange Juice Data,217864
survival,rotterdam,Breast cancer data set used in Royston and Altman (2013),217704
flexclust,auto,Automobile Customer Survey Data,216136
statsExpressions,movies_wide,Movie information and user ratings from IMDB.com (wide format).,214184
lexicon,emojis_sentiment,Emoji Sentiment Data,213976
gamlss.data,respInf,Respiratory Infection in Indonesian Children.,213832
lexicon,hash_sentiment_loughran_mcdonald,Loughran-McDonald Polarity Table,213824
wooldridge,prison,prison,211912
sjlabelled,efc,Sample dataset from the EUROFAMCARE project,210288
sjmisc,efc,Sample dataset from the EUROFAMCARE project,210288
ade4,perthi02,Contingency Table with a partition in Molecular Biology,210096
rebmix,bearings,Bearings Faults Detection Data,208168
lexicon,profanity_zac_anger,Zac Anger's List of Profane Words,207248
wooldridge,charity,charity,206720
mice,selfreport,Self-reported and measured BMI,206432
gamlss.data,oil,The oil price data,203696
jomo,JSPmiss,Exam results for six inner London Education Authorities,203408
wooldridge,elem94_95,elem94_95,202152
AER,CreditCard,Expenditure and Default Data,198888
babynames,lifetables,Lifetables,198288
survival,pbcseq,"Mayo Clinic Primary Biliary Cirrhosis, sequential data",197968
gtools,badDend,Dataset That Crashes Base:::Plot.Dendogram with 'Node Stack Overflow',197752
ade4,steppe,Transect in the Vegetation,195328
titanic,titanic_train,Titanic train data.,193176
latticeExtra,biocAccess,Hourly access attempts to Bioconductor website,192424
modeldata,meats,"Fat, water and protein content of meat samples",190264
ks,quake,Geographical locations of earthquakes and tectonic plates,189104
questionr,hdv2003,Histoire de vie 2003,188960
tidyr,world_bank_pop,Population data from the World Bank,188544
AER,Guns,"More Guns, Less Crime?",186824
ade4,chickenk,Veterinary epidemiological study to assess the risk factors for losses in broiler chickens,186344
HardyWeinberg,JPTtriallelicsChr7,Tri-allelic variants on chromosome 7 of the Japanese (JPT) sample of the 1000 genomes project,185512
ggstatsplot,movies_long,Movie information and user ratings from IMDB.com (long format).,182976
statsExpressions,movies_long,Movie information and user ratings from IMDB.com (long format).,182976
mlbench,Vehicle,Vehicle Silhouettes,182952
ade4,westafrica,Freshwater fish zoogeography in west Africa,182240
ISLR,College,U.S. News and World Report's College Data,180104
ade4,t3012,Average temperatures of 30 French cities,179712
wooldridge,bwght2,bwght2,179488
mosaicData,TenMileRace,Cherry Blossom Race,178856
plm,Cigar,Cigarette Consumption,178432
ade4,kcponds,Ponds in a nature reserve,178008
ade4,avimedi,Fauna Table for Constrained Ordinations,177816
gamlss.data,aep,The Hospital Stay Data,175200
ISLR,Wage,Mid-Atlantic Wage Data,174984
radiant.model,kaggle_uplift,Kaggle uplift,172416
gamlss.data,VictimsOfCrime,Reported victims of crime data,170296
carData,KosteckiDillon,Treatment of Migraine Headaches,170096
modeldata,hpc_cv,Class probability predictions,169736
yardstick,hpc_cv,Multiclass Probability Predictions,169736
mlbench,Soybean,Soybean Database,169448
datawizard,nhanes_sample,Sample dataset from the National Health and Nutrition Examination Survey,169184
mice,toenail,Toenail data,169128
sentimentr,kotzias_reviews_imdb,Kotzias Reviews: IMBD,166704
survival,survexp.us,Census Data Sets for the Expected Survival and Person Years Functions,164672
mosaicData,BirthsCDC,US Births,163408
carData,BEPS,British Election Panel Study,161736
HardyWeinberg,NistSTRs,NIST autosomal STR data,161080
rebmix,weibullnormal,Weibull-normal Simulated Dataset,160856
lexicon,key_corporate_social_responsibility,Nadra Pencle and Irina Mălăescu's Corporate Social Responsibility Dictionary,158920
maps,canada.cities,Database of Canadian cities,158528
radiant.data,titanic,Survival data for the Titanic,158136
timetk,m4_daily,Sample of 4 Daily Time Series Datasets from the M4 Competition,157880
ade4,atlas,Small Ecological Dataset,152712
nlme,Quinidine,Quinidine Kinetics,152472
gamlss.data,rent99,Munich rent data of 1999,151880
wooldridge,meap01,meap01,148104
mlbench,Vowel,Vowel Recognition (Deterding data),147040
mclust,wdbc,UCI Wisconsin Diagnostic Breast Cancer Data,146448
wooldridge,htv,htv,146320
workflowsets,two_class_set,Two Class Example Data,144760
carData,Rossi,Rossi et al.'s Criminal Recidivism Data,144376
sentimentr,kotzias_reviews_yelp,Kotzias Reviews: Yelp,144136
carData,TitanicSurvival,Survival of Passengers on the Titanic,143560
wooldridge,fringe,fringe,143552
sentimentr,kotzias_reviews_amazon_cells,Kotzias Reviews: Amazon Cells,142680
dslabs,brca,Breast Cancer Wisconsin Diagnostic Dataset from UCI Machine Learning Repository,142456
AER,Medicaid1986,Medicaid Utilization Data,141984
gamlss.data,mvi,The motor vehicle insurance data,141976
gamlss.data,tse,The Turkish stock exchange index,139000
ks,plate,Geographical locations of earthquakes and tectonic plates,138536
AER,DJIA8012,Dow Jones Industrial Average (DJIA) index,138416
yarrr,pirates,pirates,136640
ggplot2,faithfuld,2d density estimate of Old Faithful data,136128
ade4,banque,Table of Factors,135864
afex,ks2013.3,"Data from Klauer & Singmann (2013, Experiment 3)",135848
gclus,body,Exploring Relationships in Body Dimensions,135440
DiceDesign,NOLHdesigns,List of Cioppa's Nearly Orthogonal Latin Hypercubes designs,135112
parsnip,model_db,parsnip model specification database,134848
timetk,wikipedia_traffic_daily,Sample Daily Time Series Data from the Web Traffic Forecasting (Wikipedia) Competition,134576
AER,CASchools,California Test Score Data,133304
AER,PSID1976,Labor Force Participation Data,131800
sentimentr,crowdflower_weather,Twitter Tweets About the Weather,130680
mosaicData,SaratogaHouses,Houses in Saratoga County (2006),130352
wooldridge,expendshares,expendshares,130120
rattle,audit,Sample dataset to illustrate Rattle functionality.,129928
ade4,jv73,K-tables Multi-Regions,129680
ade4,rpjdl,Avifauna and Vegetation,129624
dbscan,DS3,DS3: Spatial data with arbitrary shapes,129336
evclass,vehicles,Vehicles dataset,129208
lexicon,hash_emojis_identifier,Emoji Identifier Lookup Table,129080
nlme,Milk,Protein content of cows' milk,128328
mlbench,BreastCancer,Wisconsin Breast Cancer Database,126952
ggpubr,gene_expression,Gene Expression Data,126832
wooldridge,fertil1,fertil1,126152
klaR,GermanCredit,Statlog German Credit,125432
sentimentr,hu_liu_apex_reviews,Apex AD2600 Progressive-scan DVD player Product Reviews From Amazon,125432
ade4,ecomor,Ecomorphological Convergence,125320
plm,EmplUK,Employment and Wages in the United Kingdom,125176
rpart.plot,ptitanic,Titanic data with passenger names and other details removed.,125064
SparseM,lsq,Least Squares Problems in Surveying,124800
glmnet,MultinomialExample,Synthetic dataset with multinomial response,124616
Matrix,KNex,Koenker-Ng Example Sparse Model Matrix and Response Vector,124616
Matrix,KNex,Koenker-Ng Example Sparse Model Matrix and Response Vector,124616
Matrix,USCounties,Contiguity Matrix of U.S. Counties,123384
Matrix,USCounties,Contiguity Matrix of U.S. Counties,123384
mlbench,Ionosphere,Johns Hopkins University Ionosphere database,122816
mlbench,Sonar,"Sonar, Mines vs. Rocks",122416
quantreg,uis,UIS Drug Treatment study data,122360
gapminder,gapminder_unfiltered,"Gapminder data, unfiltered.",121568
sandwich,PetersenCL,Petersen's Simulated Data for Assessing Clustered Standard Errors,121088
wooldridge,sleep75,sleep75,120744
survival,mgus2,Monoclonal gammopathy data,119704
TH.data,GlaucomaM,Glaucoma Database,119224
wooldridge,bwght,bwght,119192
dslabs,reported_heights,Self-reported Heights,118952
lexicon,hash_emojis,Emoji Description Lookup Table,118928
plm,Produc,US States Production,117696
wooldridge,big9salary,big9salary,117680
ordinal,soup,Discrimination study of packet soup,117624
flexmix,whiskey,Survey Data on Brands of Scotch whiskey Consumed,117056
carData,Cowles,Cowles and Davis's Data on Volunteering,115824
qdapRegex,regex_usa,Canned Regular Expressions (United States of America),115640
ConsRank,APAred,"American Psychological Association dataset, reduced version with only full rankings",115528
evd,lossalae,General Liability Claims,115136
